Drug	Synonym	Main Indications	WHO	Off-Patent	Vitro	Vivo	Cases	Obs.	Trials	Human	Targets	Date Update	DrugBank	PubChem	PubMed	
Mycophenolate	Mycophenolic acid	Immunosuppressant	No	Yes	Yes	Yes	Yes	No	Yes	Yes	IMPDH1; IMPDH2;	09/08/2021	https://www.drugbank.ca/drugs/DB01024	https://pubchem.ncbi.nlm.nih.gov/compound/24280-93-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Mycophenolate+OR+Mycophenolic+acid)+AND+cancer	
Nadroparin		Prophylaxis of venous thromboembolism	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	SERPINC1; SELP; FOS; MYC;	09/08/2021	https://www.drugbank.ca/drugs/DB08813	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nadroparin)+AND+cancer	
Naftopidil		Benign prostatic hyperplasia	No	Unclear	Yes	Yes	Yes	Yes	Yes	Yes		06/02/2018	https://www.drugbank.ca/drugs/DB12092	https://pubchem.ncbi.nlm.nih.gov/compound/57149-07-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Naftopidil)+AND+cancer	
Naltrexone		Opioid receptor antagonist	No	Yes	Yes	Yes	Yes	No	Yes	Yes	OPRD1; OPRM1; OPRK1; SIGMAR1;	03/01/2018	https://www.drugbank.ca/drugs/DB00704	https://pubchem.ncbi.nlm.nih.gov/compound/16590-41-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Naltrexone)+AND+cancer	
Naproxen		Analgesia	No	Yes	Yes	Yes	Yes	No	Yes	Yes	PTGS1; pab; PTGS2;	03/01/2018	https://www.drugbank.ca/drugs/DB00788	https://pubchem.ncbi.nlm.nih.gov/compound/22204-53-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Naproxen)+AND+cancer	
Nelfinavir		Anti-retroviral	No	Yes	Yes	Yes	Yes	No	Yes	Yes	HIV-1 protease;	09/08/2021	https://www.drugbank.ca/drugs/DB00220	https://pubchem.ncbi.nlm.nih.gov/compound/159989-64-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nelfinavir)+AND+cancer	
Nicardipine		Hypertension, angina pectoris	No	Yes	Yes	Yes	Yes	No	Yes	Yes	CACNA1C; CACNB2; CACNA2D1; CACNA1D; PDE1A; PDE1B; ADRA1A; ADRA1B; ADRA1D; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; CALM1;	17/03/2021	https://www.drugbank.ca/drugs/DB00622	https://pubchem.ncbi.nlm.nih.gov/compound/55985-32-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nicardipine)+AND+cancer	
Niclosamide		Parasitic infection	Yes	Yes	Yes	Yes	No	No	Yes	Yes		09/08/2021	https://www.drugbank.ca/drugs/DB06803	https://pubchem.ncbi.nlm.nih.gov/compound/50-65-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Niclosamide)+AND+cancer	
Nicotinamide	Niacinamide	Niacin Deficiency, Skin cancer chemoprevention	Yes	Yes	Yes	Yes	No	No	Yes	Yes	eta; LDHA; PARP1; SIRT5; BST1;	01/03/2018	https://www.drugbank.ca/drugs/DB02701	https://pubchem.ncbi.nlm.nih.gov/compound/98-92-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nicotinamide+OR+Niacinamide)+AND+cancer	
Nifedipine		Hypertension	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	CACNA1C; NR1I2; CALM1; CACNA1D; CACNA1S; CACNB2; KCND3; CACNA1G;	03/01/2018	https://www.drugbank.ca/drugs/DB01115	https://pubchem.ncbi.nlm.nih.gov/compound/21829-25-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nifedipine)+AND+cancer	
Nifuroxazide		Colitis, acute diarrhea	No	Yes	Yes	Yes	No	No	No	No		26/06/2019	https://www.drugbank.ca/drugs/DB13855	https://pubchem.ncbi.nlm.nih.gov/compound/965-52-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nifuroxazide)+AND+cancer	
Nifurtimox		Chagas disease, African sleeping sickness	Yes	Unclear	Yes	Yes	Yes	No	Yes	Yes		03/01/2018	https://www.drugbank.ca/drugs/DB11820	https://pubchem.ncbi.nlm.nih.gov/compound/23256-30-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nifurtimox)+AND+cancer	
Nimesulide		Analgesia	No	Yes	Yes	Yes	No	No	Yes	Yes	PTGS2; PLA2G2E; LTF;	19/12/2018	https://www.drugbank.ca/drugs/DB04743	https://pubchem.ncbi.nlm.nih.gov/compound/51803-78-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nimesulide)+AND+cancer	
Nimodipine		Hypertension	No	Yes	Yes	Yes	No	No	No	No	CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; NR3C2; AHR;	04/01/2018	https://www.drugbank.ca/drugs/DB00393	https://pubchem.ncbi.nlm.nih.gov/compound/66085-59-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nimodipine)+AND+cancer	
Nisoldipine		Hypertension	No	Yes	Yes	Yes	No	No	No	No	CACNA1C; CACNA2D1; CACNB2; CACNA1D; CACNA1S;	04/01/2018	https://www.drugbank.ca/drugs/DB00401	https://pubchem.ncbi.nlm.nih.gov/compound/63675-72-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nisoldipine)+AND+cancer	
Nitazoxanide		Anti-protozoal	No	Yes	Yes	Yes	No	No	Yes	Yes	por;	09/08/2021	https://www.drugbank.ca/drugs/DB00507	https://pubchem.ncbi.nlm.nih.gov/compound/55981-09-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nitazoxanide)+AND+cancer	
Nitisinone		Hereditary tyrosinemia type 1	No	Yes	No	No	Yes	No	No	Yes	HPD;	09/08/2021	https://www.drugbank.ca/drugs/DB00348	https://pubchem.ncbi.nlm.nih.gov/compound/104206-65-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nitisinone)+AND+cancer	
Nitroglycerin	Glyceryl trinitrate	Nitro-vasodilator	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	NPR1;	04/01/2018	https://www.drugbank.ca/drugs/DB00727	https://pubchem.ncbi.nlm.nih.gov/compound/55-63-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nitroglycerin+OR+Glyceryl+trinitrate)+AND+cancer	
Nitroxoline		Antibiotic	No	Yes	Yes	Yes	No	No	Yes	Yes	METAP2;	04/01/2018	https://www.drugbank.ca/drugs/DB01422	https://pubchem.ncbi.nlm.nih.gov/compound/4008-48-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Nitroxoline)+AND+cancer	
Norethandrolone		Aplastic anemia	No	Yes	Yes	Yes	No	No	Yes	Yes		23/08/2017	https://www.drugbank.ca/drugs/DB12787	https://pubchem.ncbi.nlm.nih.gov/compound/52-78-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Norethandrolone)+AND+cancer	
Noscapine		Anti-tussive	No	Yes	Yes	Yes	No	No	Yes	Yes	SIGMAR1;	04/01/2018	https://www.drugbank.ca/drugs/DB06174	https://pubchem.ncbi.nlm.nih.gov/compound/128-62-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Noscapine)+AND+cancer	
Obeticholic Acid		Primary biliary cholangitis	No	No	Yes	Yes	No	No	No	No	NR1H4;	20/03/2019	https://www.drugbank.ca/drugs/DB05990	https://pubchem.ncbi.nlm.nih.gov/compound/459789-99-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Obeticholic+Acid)+AND+cancer	
Olanzapine		Psychotic disorders	No	Yes	Yes	Yes	No	No	No	No	HTR2A; DRD2; DRD1; DRD5; DRD3; DRD4; HTR2C; HTR3A; HTR6; HRH1; ADRA1A; ADRA1B; CHRM1; CHRM2; CHRM3; CHRM4; DRD1; ADRB1; HTR1A; GABRA1;	30/10/2017	https://www.drugbank.ca/drugs/DB00334	https://pubchem.ncbi.nlm.nih.gov/compound/132539-06-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Olanzapine)+AND+cancer	
Olmesartan		Hypertension	No	Yes	Yes	Yes	No	No	No	No	AGTR1;	21/02/2018	https://www.drugbank.ca/drugs/DB00275	https://pubchem.ncbi.nlm.nih.gov/compound/144689-24-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Olmesartan)+AND+cancer	
Olsalazine		Rheumatoid arthritis; ulcerative colitis; active Crohn's Disease.	No	Yes	Yes	Yes	No	No	No	No	TPMT; IFNG;	08/01/2018	https://www.drugbank.ca/drugs/DB01250	https://pubchem.ncbi.nlm.nih.gov/compound/15722-48-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Olsalazine)+AND+cancer	
Omega 3	Lovaza, Fish Oil, Omacor, eicosapentaenoic acid, docosahexaenoic acid	Hyperlipidemia	No	Unclear	Yes	Yes	Yes	Yes	Yes	Yes	DGAT2; PTGS2; FFAR4; CACNA1C; SCN1A; NFKB2; SREBF1; PPARA; PPARG; PPARD;	31/01/2018	https://www.drugbank.ca/drugs/DB13961	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Omega+3+OR+Lovaza+OR++Fish+Oil+OR++Omacor+OR++eicosapentaenoic+acid+OR++docosahexaenoic+acid)+AND+cancer	
Omeprazole		Antacid	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	ATP4A; AHR;	08/01/2018	https://www.drugbank.ca/drugs/DB00338	https://pubchem.ncbi.nlm.nih.gov/compound/73590-58-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Omeprazole)+AND+cancer	
Orlistat		Obesity	No	Yes	Yes	Yes	No	No	No	No	PNLIP; LIPF; FASN;	02/10/2017	https://www.drugbank.ca/drugs/DB01083	https://pubchem.ncbi.nlm.nih.gov/compound/96829-58-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Orlistat)+AND+cancer	
Ormeloxifene		Contraceptive	No	Yes	Yes	Yes	No	No	No	No		09/01/2018	https://www.drugbank.ca/drugs/DB13310	https://pubchem.ncbi.nlm.nih.gov/compound/31477-60-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ormeloxifene)+AND+cancer	
Oseltamivir		Anti-viral	Yes	Yes	Yes	Yes	No	No	No	No	NA; NEU1; NEU2;	09/01/2018	https://www.drugbank.ca/drugs/DB00198	https://pubchem.ncbi.nlm.nih.gov/compound/196618-13-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Oseltamivir)+AND+cancer	
Ospemifene		Vulvar and vaginal atrophy	No	No	Yes	Yes	No	No	No	No	ESR1;	19/01/2021	https://www.drugbank.ca/drugs/DB04938	https://pubchem.ncbi.nlm.nih.gov/compound/128607-22-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ospemifene)+AND+cancer	
Ouabain		Cardiac arrhythmia	No	Yes	Yes	Yes	No	No	No	No	ATP1A1; ATP1A2; ATP1A3;	10/01/2018	https://www.drugbank.ca/drugs/DB01092	https://pubchem.ncbi.nlm.nih.gov/compound/630-60-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ouabain)+AND+cancer	
Oxcarbazepine		Epilepsy	No	Yes	Yes	No	No	Yes	No	Yes	SCN1A;	12/06/2017	https://www.drugbank.ca/drugs/DB00776	https://pubchem.ncbi.nlm.nih.gov/compound/28721-07-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Oxcarbazepine)+AND+cancer	
Pamidronic Acid	Pamidronate	Osteoporosis	No	Yes	Yes	Yes	Yes	No	Yes	Yes	FDPS; GGPS1; CASP3; CASP9;	06/02/2018	https://www.drugbank.ca/drugs/DB00282	https://pubchem.ncbi.nlm.nih.gov/compound/40391-99-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pamidronic+Acid+OR+Pamidronate)+AND+cancer	
Pantoprazole		Antacid	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ATP4A; DDAH1;	10/01/2018	https://www.drugbank.ca/drugs/DB00213	https://pubchem.ncbi.nlm.nih.gov/compound/102625-70-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pantoprazole)+AND+cancer	
Parecoxib		Post-operative analgesia	No	Yes	Yes	Yes	No	No	Yes	Yes	PTGS2; LTF;	24/09/2018	https://www.drugbank.ca/drugs/DB08439	https://pubchem.ncbi.nlm.nih.gov/compound/198470-84-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Parecoxib)+AND+cancer	
Paricalcitol	Vitamin D2	Hyperparathyroidism	No	Yes	Yes	Yes	Yes	No	Yes	Yes	VDR;	09/08/2018	https://www.drugbank.ca/drugs/DB00910	https://pubchem.ncbi.nlm.nih.gov/compound/131918-61-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Paricalcitol+OR+Vitamin+D2)+AND+cancer	
Paroxetine		Depression	No	Yes	Yes	Yes	No	No	No	No	SLC6A4; SLC6A2; HTR2A; ADRA1A; ADRA2A; ADRB1; DRD2; HRH1; HTR1A; CHRM1; HTR2B; DRD1;	19/12/2018	https://www.drugbank.ca/drugs/DB00715	https://pubchem.ncbi.nlm.nih.gov/compound/61869-08-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Paroxetine)+AND+cancer	
Penfluridol		Psychotic disorders	No	Yes	Yes	Yes	No	No	No	No		11/01/2018	https://www.drugbank.ca/drugs/DB13791	https://pubchem.ncbi.nlm.nih.gov/compound/26864-56-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Penfluridol)+AND+cancer	
Pentamidine		Parasitic infection	Yes	Yes	Yes	Yes	No	No	Yes	Yes	TRDMT1;	11/01/2018	https://www.drugbank.ca/drugs/DB00738	https://pubchem.ncbi.nlm.nih.gov/compound/100-33-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pentamidine)+AND+cancer	
Pentoxifylline		Peripheral artery disease	No	Yes	Yes	Yes	No	No	Yes	Yes	ADORA2A; ADORA1; NT5E;	15/01/2018	https://www.drugbank.ca/drugs/DB00806	https://pubchem.ncbi.nlm.nih.gov/compound/6493-05-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pentoxifylline)+AND+cancer	
Perampanel		Epilepsy	No	No	Yes	No	No	Yes	No	Yes	GRIA1;	03/02/2021	https://www.drugbank.ca/drugs/DB08883	https://pubchem.ncbi.nlm.nih.gov/compound/380917-97-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Perampanel)+AND+cancer	
Perhexiline		Anti-angina	No	Unclear	Yes	Yes	No	No	No	No	CPT1A; CPT2; KCNH2;	17/03/2022	https://www.drugbank.ca/drugs/DB01074	https://pubchem.ncbi.nlm.nih.gov/compound/6621-47-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Perhexiline)+AND+cancer	
Perphenazine		Psychotic disorders	No	Yes	Yes	Yes	No	No	No	No	DRD2; DRD1; CALM1;	15/01/2018	https://www.drugbank.ca/drugs/DB00850	https://pubchem.ncbi.nlm.nih.gov/compound/58-39-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Perphenazine)+AND+cancer	
Pertussis vaccine	DTP vaccine	Active immunization against pertussis infection	Yes	N/A	Yes	Yes	Yes	No	No	Yes		24/06/2021	https://www.drugbank.ca/drugs/DB15274	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pertussis+vaccine+OR+DTP+vaccine)+AND+cancer	
Phenelzine		Depression	No	Yes	Yes	Yes	No	No	Yes	Yes	MAOA; MAOB; AOC3; ABAT; GPT; GPT2; GAD65;	04/03/2020	https://www.drugbank.ca/drugs/DB00780	https://pubchem.ncbi.nlm.nih.gov/compound/51-71-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Phenelzine)+AND+cancer	
Phenoxybenzamine		Pheochromocytoma	No	Yes	Yes	Yes	No	No	No	No	ADRA1A; ADRA2A; ADRA2C; ADRA2B; CALM1; ADRB2; ADRA1B; ADRA1D;	09/08/2018	https://www.drugbank.ca/drugs/DB00925	https://pubchem.ncbi.nlm.nih.gov/compound/59-96-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Phenoxybenzamine)+AND+cancer	
Phentolamine		Vasodilator	No	Yes	Yes	Yes	No	No	No	No	ADRA2A; ADRA1A; ADRA1B; ADRA1D;	17/01/2018	https://www.drugbank.ca/drugs/DB00692	https://pubchem.ncbi.nlm.nih.gov/compound/50-60-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Phentolamine)+AND+cancer	
Phenylbutyrate	Glycerol Phenylbutyrate	Urea cycle disorders	No	Unclear	Yes	Yes	Yes	No	Yes	Yes		17/01/2018	https://www.drugbank.ca/drugs/DB08909	https://pubchem.ncbi.nlm.nih.gov/compound/611168-24-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Phenylbutyrate+OR+Glycerol+Phenylbutyrate)+AND+cancer	
Phenytoin		Epilepsy	Yes	Yes	Yes	Yes	No	No	Yes	Yes	SCN5A; SCN1A; NR1I2; SCN1B; SCN3A; KCNH2; CACNA1C; SCN2A; SCN8A; GABRA1;	09/08/2021	https://www.drugbank.ca/drugs/DB00252	https://pubchem.ncbi.nlm.nih.gov/compound/57-41-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Phenytoin)+AND+cancer	
Pimozide		Psychotic disorders	No	Yes	Yes	Yes	Yes	No	No	Yes	DRD2; DRD3; KCNH2; CALM1;	18/01/2018	https://www.drugbank.ca/drugs/DB01100	https://pubchem.ncbi.nlm.nih.gov/compound/2062-78-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pimozide)+AND+cancer	
Pioglitazone		Diabetes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	PPARG; MAOB;	18/01/2018	https://www.drugbank.ca/drugs/DB01132	https://pubchem.ncbi.nlm.nih.gov/compound/111025-46-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pioglitazone)+AND+cancer	
Pirfenidone		Anti-fibrotic	No	No	Yes	Yes	No	No	Yes	Yes		18/01/2018	https://www.drugbank.ca/drugs/DB04951	https://pubchem.ncbi.nlm.nih.gov/compound/53179-13-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pirfenidone)+AND+cancer	
Piroxicam		Analgesia	No	Yes	Yes	Yes	Yes	No	Yes	Yes	PTGS2; PTGS1;	22/05/2018	https://www.drugbank.ca/drugs/DB00554	https://pubchem.ncbi.nlm.nih.gov/compound/36322-90-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Piroxicam)+AND+cancer	
Plerixafor	AMD3100	Autologous HSCT	No	Yes	Yes	Yes	Yes	No	Yes	Yes	CXCR4;	09/08/2021	https://www.drugbank.ca/drugs/DB06809	https://pubchem.ncbi.nlm.nih.gov/compound/110078-46-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Plerixafor+OR+AMD3100)+AND+cancer	
Pneumococcal vaccine	Pneumococcus vaccine, streptococcus pneumoniae vaccine	Active immunization against pneumococcal infection	Yes	N/A	No	No	No	No	Yes	Yes		24/06/2021	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pneumococcal+vaccine+OR+Pneumococcus+vaccine+OR++streptococcus+pneumoniae+vaccine)+AND+cancer	
Posaconazole		Fungal infections	No	Yes	Yes	Yes	No	No	Yes	Yes	ERG11;	19/12/2018	https://www.drugbank.ca/drugs/DB01263	https://pubchem.ncbi.nlm.nih.gov/compound/171228-49-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Posaconazole)+AND+cancer	
Pravastatin		Hyperlipidemia	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	HMGCR; HDAC2;	22/01/2018	https://www.drugbank.ca/drugs/DB00175	https://pubchem.ncbi.nlm.nih.gov/compound/81093-37-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pravastatin)+AND+cancer	
Prazosin		Hypertension	No	Yes	Yes	Yes	No	No	No	No	ADRA1A; ADRA1B; ADRA1D; KCNH2; ADRA2A; ADRA2B; ADRA1A;	22/01/2018	https://www.drugbank.ca/drugs/DB00457	https://pubchem.ncbi.nlm.nih.gov/compound/19216-56-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Prazosin)+AND+cancer	
Prochlorperazine	Prochlorperazine dimaleate	Psychotic disorders	No	Yes	Yes	Yes	No	No	Yes	Yes	DRD2; HRH1; ADRA1A; ADRA2A;	15/02/2018	https://www.drugbank.ca/drugs/DB00433	https://pubchem.ncbi.nlm.nih.gov/compound/58-38-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Prochlorperazine+OR+Prochlorperazine+dimaleate)+AND+cancer	
Promethazine		Psychotic disorders	No	Yes	Yes	Yes	No	No	No	No	HRH1; DRD2; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; ADRA1A; CALM1; HRH2; LPAR4; SCN1A; KCNA1;	22/01/2018	https://www.drugbank.ca/drugs/DB01069	https://pubchem.ncbi.nlm.nih.gov/compound/60-87-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Promethazine)+AND+cancer	
Propafenone		Anti-arryhtmic	No	Yes	Yes	Yes	No	No	No	No	SCN5A; KCNH2; ADRB1; ADRB2;	22/01/2018	https://www.drugbank.ca/drugs/DB01182	https://pubchem.ncbi.nlm.nih.gov/compound/54063-53-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Propafenone)+AND+cancer	
Propofol		Anesthetic	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	GABRB2; GABRB3; SCN4A; SCN2A; GABRA1;	10/02/2021	https://www.drugbank.ca/drugs/DB00818	https://pubchem.ncbi.nlm.nih.gov/compound/2078-54-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Propofol)+AND+cancer	
Propranolol		Hypertension	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ADRB1; ADRB2; ADRB3; HTR1A; HTR1B;	22/01/2018	https://www.drugbank.ca/drugs/DB00571	https://pubchem.ncbi.nlm.nih.gov/compound/525-66-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Propranolol)+AND+cancer	
Pyridoxine	Vitamin B6	Vitamin B6 deficiency	Yes	Yes	Yes	Yes	No	No	Yes	Yes	PDXK;	14/08/2018	https://www.drugbank.ca/drugs/DB00165	https://pubchem.ncbi.nlm.nih.gov/compound/65-23-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pyridoxine+OR+Vitamin+B6)+AND+cancer	
Pyrimethamine		Parasitic infection	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	DHFR; HEXB;	10/08/2021	https://www.drugbank.ca/drugs/DB00205	https://pubchem.ncbi.nlm.nih.gov/compound/58-14-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pyrimethamine)+AND+cancer	
Pyronaridine		Malaria	No	Yes	Yes	Yes	No	No	No	No		11/05/2020	https://www.drugbank.ca/drugs/DB12975	https://pubchem.ncbi.nlm.nih.gov/compound/74847-35-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pyronaridine)+AND+cancer	
Pyrvinium Pamoate	Pyrvinium	Parasitic infection	No	Yes	Yes	Yes	No	No	No	No		23/01/2018	https://www.drugbank.ca/drugs/DB06816	https://pubchem.ncbi.nlm.nih.gov/compound/7187-62-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Pyrvinium+Pamoate+OR+Pyrvinium)+AND+cancer	
Quetiapine		Psychotic disorders	No	Yes	Yes	No	No	No	No	No	HTR2A; DRD2; HTR1A; HTR1B; HTR1D; HTR1E; HTR2C; HTR3A; HTR6; HTR7; DRD1; DRD5; DRD3; DRD4; HRH1; ADRA1A; ADRA2A; ADRA2B; ADRA2C; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5;	23/01/2018	https://www.drugbank.ca/drugs/DB01224	https://pubchem.ncbi.nlm.nih.gov/compound/111974-69-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Quetiapine)+AND+cancer	
Rabeprazole		Antacid	No	Yes	Yes	Yes	No	No	Yes	Yes	ATP4A;	25/01/2018	https://www.drugbank.ca/drugs/DB01129	https://pubchem.ncbi.nlm.nih.gov/compound/117976-89-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Rabeprazole)+AND+cancer	
Raloxifene		Osteoporosis	No	Yes	Yes	Yes	No	Yes	Yes	Yes	ESR1; ESR2; SERPINB9; TFF1;	23/11/2020	https://www.drugbank.ca/drugs/DB00481	https://pubchem.ncbi.nlm.nih.gov/compound/84449-90-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Raloxifene)+AND+cancer	
Ranitidine		Antacid	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	HRH2; ACHE;	02/11/2017	https://www.drugbank.ca/drugs/DB00863	https://pubchem.ncbi.nlm.nih.gov/compound/66357-35-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ranitidine)+AND+cancer	
Ranolazine		Anti-angina	No	Yes	Yes	Yes	No	No	No	No	SCN1A; KCNJ12; CACNA1C; ADRA1A; ADRB1;	10/08/2021	https://www.drugbank.ca/drugs/DB00243	https://pubchem.ncbi.nlm.nih.gov/compound/95635-55-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ranolazine)+AND+cancer	
Repaglinide		Diabetes	No	Yes	Yes	Yes	No	No	No	No	ABCC8; PPARG;	10/08/2021	https://www.drugbank.ca/drugs/DB00912	https://pubchem.ncbi.nlm.nih.gov/compound/135062-02-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Repaglinide)+AND+cancer	
Reserpine		Hypertension, anti-psychotic	No	Yes	Yes	Yes	No	No	No	No	SLC18A2; SLC18A1; BIRC5;	22/01/2019	https://www.drugbank.ca/drugs/DB00206	https://pubchem.ncbi.nlm.nih.gov/compound/50-55-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Reserpine)+AND+cancer	
Ribavirin		Anti-viral	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	IMPDH1; IMPDH2; L; PB1;	16/06/2017	https://www.drugbank.ca/drugs/DB00811	https://pubchem.ncbi.nlm.nih.gov/compound/36791-04-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ribavirin)+AND+cancer	
Rifabutin		Antibiotic	Yes	Yes	Yes	No	No	No	No	No	rpoA; rpoB; rpoC; HSP90AA1; HSP90B1;	29/01/2018	https://www.drugbank.ca/drugs/DB00615	https://pubchem.ncbi.nlm.nih.gov/compound/72559-06-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Rifabutin)+AND+cancer	
Rifampicin	Rifampin	Tuberculosis	Yes	Yes	Yes	Yes	Yes	No	No	Yes	rpoB; NR1I2;	04/04/2019	https://www.drugbank.ca/drugs/DB01045	https://pubchem.ncbi.nlm.nih.gov/compound/13292-46-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Rifampicin+OR+Rifampin)+AND+cancer	
Riluzole		ALS	No	Yes	Yes	Yes	No	No	Yes	Yes	SCN5A; SLC7A11;	29/01/2018	https://www.drugbank.ca/drugs/DB00740	https://pubchem.ncbi.nlm.nih.gov/compound/1744-22-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Riluzole)+AND+cancer	
Risedronic Acid	Risedronate	Osteoporosis, prophylaxis of skeletal fractures, Paget's disease	No	Yes	Yes	Yes	No	No	Yes	Yes	FDPS;	13/09/2018	https://www.drugbank.ca/drugs/DB00884	https://pubchem.ncbi.nlm.nih.gov/compound/105462-24-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Risedronic+Acid+OR+Risedronate)+AND+cancer	
